Zip,City,County,Population
85001,Phoenix,Maricopa,0
85002,Phoenix,Maricopa,0
85003,Phoenix,Maricopa,"9,369"
85004,Phoenix,Maricopa,"4,965"
85005,Phoenix,Maricopa,0
85006,Phoenix,Maricopa,"25,742"
85007,Phoenix,Maricopa,"14,040"
85008,Phoenix,Maricopa,"56,145"
85009,Phoenix,Maricopa,"52,520"
85010,Phoenix,Maricopa,0
85011,Phoenix,Maricopa,0
85012,Phoenix,Maricopa,"6,390"
85013,Phoenix,Maricopa,"19,314"
85014,Phoenix,Maricopa,"24,782"
85015,Phoenix,Maricopa,"37,644"
85016,Phoenix,Maricopa,"33,896"
85017,Phoenix,Maricopa,"38,872"
85018,Phoenix,Maricopa,"36,065"
85019,Phoenix,Maricopa,"25,042"
85020,Phoenix,Maricopa,"32,850"
85021,Phoenix,Maricopa,"37,743"
85022,Phoenix,Maricopa,"46,395"
85023,Phoenix,Maricopa,"31,274"
85024,Phoenix,Maricopa,"22,898"
85026,Phoenix,Maricopa,0
85027,Phoenix,Maricopa,"37,140"
85028,Phoenix,Maricopa,"19,157"
85029,Phoenix,Maricopa,"43,233"
85030,Phoenix,Maricopa,0
85031,Phoenix,Maricopa,"30,493"
85032,Phoenix,Maricopa,"65,485"
85033,Phoenix,Maricopa,"53,037"
85034,Phoenix,Maricopa,"5,582"
85035,Phoenix,Maricopa,"47,486"
85036,Phoenix,Maricopa,0
85037,Phoenix,Maricopa,"44,771"
85038,Phoenix,Maricopa,0
85039,Phoenix,Maricopa,0
85040,Phoenix,Maricopa,"29,352"
85041,Phoenix,Maricopa,"54,947"
85042,Phoenix,Maricopa,"40,962"
85043,Phoenix,Maricopa,"30,560"
85044,Phoenix,Maricopa,"37,993"
85045,Phoenix,Maricopa,"7,238"
85046,Phoenix,Maricopa,0
85048,Phoenix,Maricopa,"33,449"
85050,Phoenix,Maricopa,"25,736"
85051,Phoenix,Maricopa,"40,375"
85053,Phoenix,Maricopa,"28,480"
85054,Phoenix,Maricopa,"5,384"
85060,Phoenix,Maricopa,0
85061,Phoenix,Maricopa,0
85062,Phoenix,Maricopa,0
85063,Phoenix,Maricopa,0
85064,Phoenix,Maricopa,0
85065,Phoenix,Maricopa,0
85066,Phoenix,Maricopa,0
85067,Phoenix,Maricopa,0
85068,Phoenix,Maricopa,0
85069,Phoenix,Maricopa,0
85070,Phoenix,Maricopa,0
85071,Phoenix,Maricopa,0
85072,Phoenix,Maricopa,0
85073,Phoenix,Maricopa,0
85074,Phoenix,Maricopa,0
85075,Phoenix,Maricopa,0
85076,Phoenix,Maricopa,0
85078,Phoenix,Maricopa,0
85079,Phoenix,Maricopa,0
85080,Phoenix,Maricopa,0
85082,Phoenix,Maricopa,0
85083,Phoenix,Maricopa,"18,104"
85085,Phoenix,Maricopa,"17,517"
85086,Phoenix,Maricopa,"40,495"
85087,Phoenix,Maricopa,"7,708"
