Zip,City,County,Population
78201,San Antonio,Bexar,"45,307"
78202,San Antonio,Bexar,"11,691"
78203,San Antonio,Bexar,"6,099"
78204,San Antonio,Bexar,"11,125"
78205,San Antonio,Bexar,"1,453"
78206,San Antonio,Bexar,0
78207,San Antonio,Bexar,"55,514"
78208,San Antonio,Bexar,"3,736"
78209,San Antonio,Bexar,"39,197"
78210,San Antonio,Bexar,"36,865"
78211,San Antonio,Bexar,"31,944"
78212,San Antonio,Bexar,"28,415"
78213,San Antonio,Bexar,"40,396"
78214,San Antonio,Bexar,"23,341"
78215,San Antonio,Bexar,"1,150"
78216,San Antonio,Bexar,"40,267"
78217,San Antonio,Bexar,"32,165"
78218,San Antonio,Bexar,"31,917"
78219,San Antonio,Bexar,"15,225"
78220,San Antonio,Bexar,"15,965"
78221,San Antonio,Bexar,"35,990"
78222,San Antonio,Bexar,"19,408"
78223,San Antonio,Bexar,"50,637"
78224,San Antonio,Bexar,"17,601"
78225,San Antonio,Bexar,"13,025"
78226,San Antonio,Bexar,"6,648"
78227,San Antonio,Bexar,"46,077"
78228,San Antonio,Bexar,"58,811"
78229,San Antonio,Bexar,"28,804"
78230,San Antonio,Bexar,"39,089"
78231,San Antonio,Bexar,"7,906"
78232,San Antonio,Bexar,"35,120"
78233,San Antonio,Bexar,"43,710"
78234,San Antonio,Bexar,"7,126"
78235,San Antonio,Bexar,357
78236,San Antonio,Bexar,"10,392"
78237,San Antonio,Bexar,"36,929"
78238,San Antonio,Bexar,"23,514"
78239,San Antonio,Bexar,"28,736"
78240,San Antonio,Bexar,"51,111"
78241,San Antonio,Bexar,0
78242,San Antonio,Bexar,"31,395"
78243,San Antonio,Bexar,235
78244,San Antonio,Bexar,"30,757"
78245,San Antonio,Bexar,"56,511"
78246,San Antonio,Bexar,0
78247,San Antonio,Bexar,"49,176"
78248,San Antonio,Bexar,"13,638"
78249,San Antonio,Bexar,"49,951"
78250,San Antonio,Bexar,"54,903"
78251,San Antonio,Bexar,"49,435"
78252,San Antonio,Bexar,"7,372"
78253,San Antonio,Bexar,"29,007"
78254,San Antonio,Bexar,"44,817"
78255,San Antonio,Bexar,"10,826"
78256,San Antonio,Bexar,"6,855"
78257,San Antonio,Bexar,"3,950"
78258,San Antonio,Bexar,"40,586"
78259,San Antonio,Bexar,"22,660"
78260,San Antonio,Bexar,"24,844"
78261,San Antonio,Bexar,"13,513"
78263,San Antonio,Bexar,"4,673"
78264,San Antonio,Bexar,"12,339"
78265,San Antonio,Bexar,0
78266,San Antonio,Comal,"5,591"
78268,San Antonio,Bexar,0
78269,San Antonio,Bexar,0
78270,San Antonio,Bexar,0
78278,San Antonio,Bexar,0
78279,San Antonio,Bexar,0
78280,San Antonio,Bexar,0
78283,San Antonio,Bexar,0
78284,San Antonio,Bexar,0
78285,San Antonio,Bexar,0
78288,San Antonio,Bexar,0
78289,San Antonio,Bexar,0
78291,San Antonio,Bexar,0
78292,San Antonio,Bexar,0
78293,San Antonio,Bexar,0
78294,San Antonio,Bexar,0
78295,San Antonio,Bexar,0
78296,San Antonio,Bexar,0
78297,San Antonio,Bexar,0
78298,San Antonio,Bexar,0
78299,San Antonio,Bexar,0
